lat,lon,velocity_mm_yr,region,infrastruktur_naehe
51.546388,7.691104,-4.6,Ruhrgebiet-Ost,
51.548182,7.723359,-3.2,Ruhrgebiet-Ost,
51.548807,7.782187,-3.5,Ruhrgebiet-Ost,
51.551418,7.980583,4.2,Ruhrgebiet-Ost,
51.551674,7.852497,4.1,Ruhrgebiet-Ost,
51.552627,7.876705,-6.8,Ruhrgebiet-Ost,
51.552124,7.755558,-3.3,Ruhrgebiet-Ost,
51.555632,8.054343,9.8,Ruhrgebiet-Ost,
51.556502,7.986240,-3.8,Ruhrgebiet-Ost,
51.557202,7.983916,-4.1,Ruhrgebiet-Ost,
51.556609,7.704659,-3.5,Ruhrgebiet-Ost,
51.558526,7.620357,-4.8,Ruhrgebiet-Ost,
51.559245,7.620335,-4.3,Ruhrgebiet-Ost,
51.559649,7.593779,3.3,Ruhrgebiet-Ost,
51.560886,7.701075,3.1,Ruhrgebiet-Ost,
51.563102,7.844130,4.6,Ruhrgebiet-Ost,
51.562404,7.644477,5.8,Ruhrgebiet-Ost,
51.565179,7.765590,-3.2,Ruhrgebiet-Ost,
51.567231,7.979076,6.0,Ruhrgebiet-Ost,
51.565252,7.705568,3.3,Ruhrgebiet-Ost,
51.567950,7.979059,18.8,Ruhrgebiet-Ost,
51.568237,7.782822,-6.6,Ruhrgebiet-Ost,
51.569279,7.887838,-3.3,Ruhrgebiet-Ost,
51.570902,8.074805,-6.2,Ruhrgebiet-Ost,
51.568013,7.695100,3.4,Ruhrgebiet-Ost,
51.568192,7.711256,4.4,Ruhrgebiet-Ost,
51.568771,7.698542,3.2,Ruhrgebiet-Ost,
51.568924,7.712389,3.7,Ruhrgebiet-Ost,
51.570311,7.707733,3.6,Ruhrgebiet-Ost,
51.570500,7.725043,3.1,Ruhrgebiet-Ost,
51.573806,8.078209,-6.9,Ruhrgebiet-Ost,
51.571119,7.715791,3.1,Ruhrgebiet-Ost,
51.571344,7.736563,3.3,Ruhrgebiet-Ost,
51.571787,7.711154,3.3,Ruhrgebiet-Ost,
51.571813,7.713462,3.2,Ruhrgebiet-Ost,
51.572582,7.718058,3.3,Ruhrgebiet-Ost,
51.572608,7.720366,3.2,Ruhrgebiet-Ost,
51.572645,7.723829,3.4,Ruhrgebiet-Ost,
51.573302,7.718038,3.2,Ruhrgebiet-Ost,
51.574755,7.858843,-3.7,Ruhrgebiet-Ost,
51.574008,7.716864,3.2,Ruhrgebiet-Ost,
51.574209,7.735329,3.7,Ruhrgebiet-Ost,
51.574740,7.717997,3.2,Ruhrgebiet-Ost,
51.574915,7.734155,4.8,Ruhrgebiet-Ost,
51.574928,7.735309,3.7,Ruhrgebiet-Ost,
51.575906,7.759527,3.2,Ruhrgebiet-Ost,
51.578904,8.086188,-4.6,Ruhrgebiet-Ost,
51.576902,7.786054,3.3,Ruhrgebiet-Ost,
51.577184,7.744483,3.4,Ruhrgebiet-Ost,
51.577891,7.743309,3.3,Ruhrgebiet-Ost,
51.581025,7.993776,-6.6,Ruhrgebiet-Ost,
51.581834,8.093057,-6.3,Ruhrgebiet-Ost,
51.579428,7.752503,3.8,Ruhrgebiet-Ost,
51.579514,7.760583,3.1,Ruhrgebiet-Ost,
51.579526,7.761738,3.6,Ruhrgebiet-Ost,
51.579538,7.762892,3.1,Ruhrgebiet-Ost,
51.578957,7.645140,-6.2,Ruhrgebiet-Ost,
51.580061,7.744404,6.0,Ruhrgebiet-Ost,
51.580233,7.760564,3.8,Ruhrgebiet-Ost,
51.580245,7.761718,3.5,Ruhrgebiet-Ost,
51.580257,7.762872,3.5,Ruhrgebiet-Ost,
51.580269,7.764027,3.6,Ruhrgebiet-Ost,
51.581183,7.854063,-10.4,Ruhrgebiet-Ost,
51.581796,7.918708,-10.1,Ruhrgebiet-Ost,
51.580755,7.742075,4.0,Ruhrgebiet-Ost,
51.580928,7.758236,4.4,Ruhrgebiet-Ost,
51.580940,7.759390,4.3,Ruhrgebiet-Ost,
51.580952,7.760544,4.1,Ruhrgebiet-Ost,
51.580964,7.761699,3.7,Ruhrgebiet-Ost,
